OADB,EADB,EAWB,RH,TC,SHC,kW,airflow,SFP
120,120,67,3.4523183,207000,324000,25.2,5000,
120,120,62,-1.12292436,188000,350200,25.5,5000,
120,120,57,-5.254687375,175000,342200,25.8,5000,
120,120,75,11.85222667,247000,288440,25,6000,
120,120,72,8.532960137,235000,336480,25,6000,
120,120,67,3.4523183,215000,371760,25.1,6000,
120,120,62,-1.12292436,195000,402400,25.4,6000,
120,120,57,-5.254687375,188000,367520,25.6,6000,
120,120,75,11.85222667,253000,343160,25.1,7000,
120,120,72,8.532960137,241000,379560,25,7000,
120,120,67,3.4523183,220000,417640,25.1,7000,
120,120,62,-1.12292436,201000,444560,25.3,7000,
120,120,57,-5.254687375,198000,385880,25.4,7000,
75,75,75,100,308000,97280,14.7,8000,
75,75,72,86.8608738,295000,117000,14.5,8000,
75,75,67,66.74944445,274000,155680,14.2,8000,
75,75,62,48.63860876,252000,192680,14,8000,
75,75,57,32.28326182,243000,214280,13.9,8000,
75,75,75,100,313000,94720,14.8,9000,
75,75,72,86.8608738,299000,119750,14.5,9000,
75,75,67,66.74944445,278000,162760,14.3,9000,
75,75,62,48.63860876,257000,203255,14,9000,
75,75,57,32.28326182,251000,221660,14,9000,
75,75,75,100,317000,94700,14.8,10000,
75,75,72,86.8608738,303000,122050,14.6,10000,
75,75,67,66.74944445,282000,168950,14.3,10000,
75,75,62,48.63860876,262000,210150,14.1,10000,
75,75,57,32.28326182,259000,228600,14.1,10000,
85,85,75,63.56878019,298000,153920,16.6,8000,
85,85,72,54.09934936,286000,182440,16.4,8000,
85,85,67,39.60494643,265000,223320,16.1,8000,
85,85,62,26.55238089,243000,259320,16,8000,
85,85,57,14.76500445,236000,263840,15.9,8000,
85,85,75,63.56878019,302000,163270,16.6,9000,
85,85,72,54.09934936,290000,193250,16.4,9000,
85,85,67,39.60494643,269000,238240,16.2,9000,
85,85,62,26.55238089,248000,274250,16,9000,
85,85,57,14.76500445,244000,272845,16,9000,
85,85,75,63.56878019,306000,171850,16.7,10000,
85,85,72,54.09934936,294000,203500,16.5,10000,
85,85,67,39.60494643,273000,252050,16.2,10000,
85,85,62,26.55238089,253000,287850,16.1,10000,
85,85,57,14.76500445,251000,280300,16,10000,
95,95,75,40.20910644,288000,216360,18.7,8000,
95,95,72,33.29467909,276000,249280,18.5,8000,
95,95,67,22.71109727,255000,292240,18.3,8000,
95,95,62,13.1803221,234000,325920,18.2,8000,
