OADB,EADB,EAWB,RH,TC,SHC,kW,airflow,SFP,BF
105,80,62,36.22315701468787,191000.0,150000.0,20.7,4000,1948.3519553072624,0.13
105,80,57,22.36175344552283,174000.0,168000.0,20.8,4000,1948.3519553072624,0.13
105,80,75,79.75271186257909,257000.0,101000.0,20.8,5000,2408.8715083798884,0.0
105,80,72,68.61710395182742,244000.0,118000.0,20.8,5000,2408.8715083798884,0.25
105,80,67,51.57236381040482,223000.0,144000.0,20.6,5000,2408.8715083798884,0.16
105,80,62,36.22315701468787,203000.0,168000.0,20.6,5000,2371.3631284916205,0.14
105,80,57,22.36175344552283,187000.0,187000.0,20.8,5000,2371.3631284916205,0.19
105,80,75,79.75271186257909,266000.0,106000.0,20.9,6000,2917.31843575419,0.0
105,80,72,68.61710395182742,253000.0,126000.0,20.8,6000,2917.31843575419,0.2
105,80,67,51.57236381040482,232000.0,156000.0,20.7,6000,2917.31843575419,0.16
105,80,62,36.22315701468787,211000.0,185000.0,20.6,6000,2917.31843575419,0.15
105,80,57,22.36175344552283,200000.0,200000.0,20.7,6000,2873.558659217877,0.28
105,80,75,79.75271186257909,272000.0,112000.0,21.0,7000,3492.446927374302,0.28
105,80,72,68.61710395182742,260000.0,134000.0,20.9,7000,3492.446927374302,0.2
105,80,67,51.57236381040482,238000.0,168000.0,20.7,7000,3492.446927374302,0.17
105,80,62,36.22315701468787,218000.0,201000.0,20.6,7000,3492.446927374302,0.17
105,80,57,22.36175344552283,211000.0,211000.0,20.6,7000,3492.446927374302,0.35
115,80,75,79.75271186257909,234000.0,93000.0,23.4,4000,1983.7765363128492,0.0
115,80,72,68.61710395182742,222000.0,105000.0,23.4,4000,1983.7765363128492,0.0
115,80,67,51.57236381040482,201000.0,126000.0,23.6,4000,1948.3519553072624,0.15
115,80,62,36.22315701468787,182000.0,146000.0,23.9,4000,1948.3519553072624,0.13
115,80,57,22.36175344552283,166000.0,162000.0,24.3,4000,1948.3519553072624,0.15
115,80,75,79.75271186257909,246000.0,97000.0,23.5,5000,2408.8715083798884,0.0
115,80,72,68.61710395182742,233000.0,114000.0,23.4,5000,2408.8715083798884,0.21
115,80,67,51.57236381040482,212000.0,139000.0,23.5,5000,2408.8715083798884,0.15
115,80,62,36.22315701468787,193000.0,164000.0,23.7,5000,2371.3631284916205,0.14
115,80,57,22.36175344552283,180000.0,180000.0,24.0,5000,2371.3631284916205,0.22
115,80,75,79.75271186257909,254000.0,103000.0,23.6,6000,2917.31843575419,0.13
115,80,72,68.61710395182742,241000.0,122000.0,23.5,6000,2917.31843575419,0.19
115,80,67,51.57236381040482,220000.0,152000.0,23.5,6000,2917.31843575419,0.16
115,80,62,36.22315701468787,201000.0,180000.0,23.7,6000,2873.558659217877,0.15
115,80,57,22.36175344552283,192000.0,192000.0,23.8,6000,2873.558659217877,0.31
115,80,75,79.75271186257909,260000.0,108000.0,23.7,7000,3492.446927374302,0.24
115,80,72,68.61710395182742,247000.0,129000.0,23.6,7000,3492.446927374302,0.19
115,80,67,51.57236381040482,227000.0,164000.0,23.5,7000,3492.446927374302,0.17
115,80,62,36.22315701468787,207000.0,195000.0,23.7,7000,3444.519553072626,0.18
115,80,57,22.36175344552283,202000.0,202000.0,23.7,7000,3444.519553072626,0.38
120,80,75,79.75271186257909,228000.0,91000.0,24.9,4000,1983.7765363128492,0.0
120,80,72,68.61710395182742,216000.0,103000.0,25.1,4000,1983.7765363128492,0.12
120,80,67,51.57236381040482,196000.0,124000.0,25.4,4000,1948.3519553072624,0.14
120,80,62,36.22315701468787,178000.0,143000.0,25.7,4000,1948.3519553072624,0.12
120,80,57,22.36175344552283,161000.0,159000.0,26.3,4000,1948.3519553072624,0.15
120,80,75,79.75271186257909,240000.0,95000.0,24.9,5000,2408.8715083798884,0.0
120,80,72,68.61710395182742,227000.0,112000.0,25.0,5000,2408.8715083798884,0.2
120,80,67,51.57236381040482,207000.0,137000.0,25.2,5000,2371.3631284916205,0.15
120,80,62,36.22315701468787,188000.0,161000.0,25.5,5000,2371.3631284916205,0.14
120,80,57,22.36175344552283,175000.0,175000.0,25.8,5000,2371.3631284916205,0.24
120,80,75,79.75271186257909,247000.0,101000.0,25.0,6000,2917.31843575419,0.29
120,80,72,68.61710395182742,235000.0,120000.0,25.0,6000,2917.31843575419,0.18
120,80,67,51.57236381040482,215000.0,150000.0,25.1,6000,2917.31843575419,0.16
120,80,62,36.22315701468787,195000.0,178000.0,25.4,6000,2873.558659217877,0.15
120,80,57,22.36175344552283,188000.0,188000.0,25.6,6000,2873.558659217877,0.32
120,80,75,79.75271186257909,253000.0,106000.0,25.1,7000,3492.446927374302,0.23
120,80,72,68.61710395182742,241000.0,127000.0,25.0,7000,3492.446927374302,0.18
120,80,67,51.57236381040482,220000.0,162000.0,25.1,7000,3492.446927374302,0.17
120,80,62,36.22315701468787,201000.0,192000.0,25.3,7000,3444.519553072626,0.18
120,80,57,22.36175344552283,198000.0,198000.0,25.4,7000,3444.519553072626,0.39
75,80,75,79.75271186257909,308000.0,126000.0,14.7,8000,4192.603351955307,0.34
75,80,72,68.61710395182742,295000.0,151000.0,14.5,8000,4192.603351955307,0.22
75,80,67,51.57236381040482,274000.0,191000.0,14.2,8000,4142.592178770949,0.19
75,80,62,36.22315701468787,252000.0,228000.0,14.0,8000,4142.592178770949,0.19
75,80,57,22.36175344552283,243000.0,243000.0,13.9,8000,4142.592178770949,0.34
75,80,75,79.75271186257909,313000.0,130000.0,14.8,9000,4930.268156424581,0.28
75,80,72,68.61710395182742,299000.0,158000.0,14.5,9000,4930.268156424581,0.22
75,80,67,51.57236381040482,278000.0,202000.0,14.3,9000,4876.089385474859,0.2
75,80,62,36.22315701468787,257000.0,242000.0,14.0,9000,4876.089385474859,0.21
75,80,57,22.36175344552283,251000.0,251000.0,14.0,9000,4876.089385474859,0.4
75,80,75,79.75271186257909,317000.0,135000.0,14.8,10000,5767.9553072625695,0.26
75,80,72,68.61710395182742,303000.0,164000.0,14.6,10000,5767.9553072625695,0.23
75,80,67,51.57236381040482,282000.0,212000.0,14.3,10000,5767.9553072625695,0.21
75,80,62,36.22315701468787,262000.0,251000.0,14.1,10000,5709.608938547485,0.25
75,80,57,22.36175344552283,259000.0,259000.0,14.1,10000,5709.608938547485,0.44
85,80,75,79.75271186257909,298000.0,123000.0,16.6,8000,4192.603351955307,0.29
85,80,72,68.61710395182742,286000.0,148000.0,16.4,8000,4192.603351955307,0.21
